Sample	CSM5FZ3N_P	CSM5FZ3T_P	CSM5FZ4A_P	CSM5FZ4E_P	CSM5LLGB_P	CSM5MCTZ_P	CSM5MCU4_P	CSM5MCUQ_P	CSM5MCWA_P	CSM5MCWK_P	CSM5MCXB_P	CSM5MCXF_P	CSM5MCYU_P	CSM67U9T_P	CSM67U9V_P	CSM67U9X_P	CSM67UAI_P	CSM67UCU_P	CSM67UH7	CSM6J2H9_P	CSM79HG7_P	CSM79HH2_P	CSM79HHM	CSM79HHW_P	CSM79HHW	CSM79HJI_P	CSM79HKX	CSM79HNE	CSM79HQR_P	CSM7CZ2F_P	CSM7KOP6	CSM7KOQ5_P	CSM7KOQP_P	CSM7KOTO	CSM7KOUJ_P	ESM5GEXY	ESM5GEYU_P	ESM5GEYX_P	ESM5GEZ4_P	ESM5MEA7_P	ESM5MEB7	ESM5MEC7_P	ESM5MEDD	ESM7F5AE_P	HSM5FZBP_P	HSM5MD3L_P	HSM5MD3Y	HSM5MD48	HSM5MD4N	HSM5MD4U_P	HSM5MD5X_P	HSM5MD6E_P	HSM5MD6O_P	HSM5MD82_P	HSM5MD8F_P	HSM5MD8J_P	HSM67VCX_P	HSM67VDR_P	HSM67VDT_P	HSM67VDT	HSM67VDX_P	HSM67VF9	HSM67VFR	HSM67VID	HSM6XRQE_P	HSM7CYWS_P	HSM7CZ1T_P	HSM7CZ2V_P	HSM7CZ2X_P	HSM7J4IC	HSM7J4J7	HSM7J4JH	HSM7J4JT_P	HSM7J4JV_P	HSMA33IA	HSMA33IE	HSMA33J1_P	MSM5FZ9N_P	MSM5LLD6_P	MSM5LLEP	MSM5LLF2_P	MSM5LLFG_P	MSM5LLFK_P	MSM5LLH2_P	MSM5LLHG_P	MSM5LLHV_P	MSM6J2JF_P	MSM6J2JH_P	MSM6J2LW	MSM6J2PO	MSM6J2RG_P	MSM79H52_P	MSM79H5E	MSM79H7C	MSM79H81	MSM79H8D	MSM79H94_P	MSM79H98	MSM79H9U_P	MSM79HAJ	MSM79HBZ	MSM9VZFJ_P	MSM9VZIM	MSM9VZIY	MSM9VZJF_P	MSM9VZJJ_P	MSM9VZL5	MSM9VZL7	MSM9VZN4_P	MSMA267V	PSM6XBQM_P	PSM6XBRK_P	PSM6XBRK_TR	PSM6XBRK	PSM6XBRM_P	PSM6XBSE_P	PSM6XBSE	PSM6XBSG_P	PSM6XBTR	PSM6XBVY_P	PSM6XBW1_P	PSM6XBW3	PSM7J12J	PSM7J12V	PSM7J13I	PSM7J15W	PSM7J4EF	PSMA264O	PSMA265X
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	0	0	0	0	0.01202	0.02743	0	0	0.05422	0	2.12578	0	0	0	0.06575	0.0082	0	0.01519	0	0.01247	0	0.17624	0	0.18294	0.07466	0.06947	0	0.0495	0	0	0	0	0	0	0.00404	0	0	0	0.16951	0	0.00202	0.07249	0	0	0.01422	0	0	0	0	0	0.14507	0	0	1.01863	0	0	0	0.0131	0	0	0	0.00981	0	0	0	0.02711	0.00107	0.04351	0	0	0	0	0	0	0	0	0.84686	0	0.13783	0.04487	0	0	0	0	0	0.18794	1.42736	0	0.04726	2.06362	0	0	0	0	0	0.11219	0	0	0	0	0	0.0016	0	0	0.92174	0	0.03409	0	0	0.55541	0	0.00394	0.01536	0	0.00563	0	0	0	0.61586	0	0	0	0	0	0	0.20264	0	0.27736	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	0	0	0	0	0	0	0	0	0	0	0.00077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24756	0	0	0	0	0	0.01852	0	0	0	0	0	0	0.11319	0.14816	0	0	0.00812	0	0	0	0	0	0	0	0	0.00454	0	0	0	0	6.58455	0	0.07596	0	0	0.39295	0.21402	0	0.34819	0.04066	0.06361	0	0	0	0	0.00507	0	0	0	0	0	0	0	0.04505	0	0	0	0	0.00289	0	0	0	0	0	0	0	0	0.92383	0	0	0	0.07236	0	0	0	0	0	0	0	0.05962	0.04045	0.30192	0.54575	0.08598	0.02171	0	0	0	0	0	0.3006	0	0	0	0	0.36256	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	84.06638	95.6901	91.9707	73.25938	57.16658	67.35915	73.96156	62.28106	9.07729	66.52086	30.56246	52.71337	5.81599	77.89941	70.07975	84.79827	0	54.83136	26.45228	54.06963	55.40296	38.03469	67.0252	82.98085	82.17862	38.56476	73.57182	12.07733	20.67701	71.51791	55.62745	65.24765	3.27227	71.68482	93.72785	76.69161	62.98227	40.77796	69.86083	49.4978	8.21644	77.53823	68.72629	41.58643	17.22702	30.35935	40.78392	39.61439	72.12799	81.28697	57.48488	73.17058	58.1339	25.57966	59.3298	48.35211	74.97008	57.27258	76.38494	78.7981	48.83519	72.91528	81.32135	12.92	7.78401	67.4771	78.04816	79.64907	61.99839	57.87498	85.86547	0	19.39936	11.08383	82.21871	55.61012	47.64089	1.66058	67.18039	51.29953	8.64018	54.00286	88.56509	3.02828	46.9221	46.51828	59.57506	8.15617	35.40142	46.52358	73.04679	29.13009	33.33641	61.6592	56.42214	65.73316	89.01007	68.26201	9.80873	20.3745	4.65116	66.12186	48.02894	48.90412	9.3905	71.45248	67.07799	40.49027	63.21659	24.00412	64.40433	74.17548	68.74276	72.3174	81.37673	55.39263	40.86976	56.17795	85.88558	49.63556	20.33662	0	0.00404	38.48781	79.85107	57.64566	56.26773	19.82405	76.00673
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2.76801	0	2.92607	0.03421	0	3.42249	0	0	0.31026	4.02102	0.52064	0.93091	0.18506	3.78345	4.0709	1.53798	0	0	2.94331	0.9604	0	0.6308	1.68649	4.66956	5.2934	2.30796	0	0	0.71358	4.89018	0	0.07833	0	2.76423	8.87793	0	0	2.20216	1.33627	0	1.44994	0.82896	3.09432	2.40985	0	3.6396	6.66206	0	20.68681	0	0.86921	0.00876	2.47652	2.84156	0	0	0	0.28217	2.25489	2.481	5.13411	0.49071	0	2.53659	0	1.24533	0	3.01695	0	0.01006	6.79914	0	0	0.54922	0	14.1766	0	0	2.02485	3.22485	0.18077	3.34238	0	0.06324	2.44983	0	2.20507	0.83498	0.73713	0.64579	0	5.5122	2.54285	6.54173	0	0	0.01157	3.16296	0.44829	1.52829	0	3.74991	0	0	2.62923	0	1.20942	0.4351	3.32167	1.11774	2.90291	1.75674	1.75049	1.62187	0	1.09621	0.32853	9.24671	1.32281	1.68843	1.73185	0	0	4.59215	8.9877	0	0	5.76393	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0	0	0.04421	0	0	0.09132	0	0	0	7.36777	0	0	0	2.16278	0	0	0	0	0.20822	0.26555	0.62043	5.24859	0	0	0	0	0.86163	0	0	0	5.85442	0.03981	0	0	0	0	0	0	0	0	0	0	0	0.42218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19331	0	0	0	0	0.11265	0	0.00566	0	0	0	0	0.00203	0	0	0	0	0	0.90575	7.28529	0	0	0	0	0.9266	0	0	0.16796	0.03213	0	0	0	0.06456	2.47915	0	0	32.14908	0.32872	0.0164	0	0	2.73646	0	0.7875	0	0	0	3.75568	0	0.05565	0.2823	0	0	0	1.32337	0	0	0.10388	0	0	0	0	0	0.00875	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.53654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0.74873	0	0	0	0	0	0	0	0	0.00782	2.14672	0	0	0	0	0	0	0	0	0	0	11.1187	0	0	0	0	0	0	0.61807	0.00081	0	0.16874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03557	0	0.00903	0	0	0	0	1.04461	0	0	0	0	0	0	0.35194	0	0	0	0	0	0	0	0	0	0	0	0	0.47915	0	0	0	0	0	0.47307	0	0	0	0	0	0	0	0	0	11.56944	0	0	0	0	0	0	0	0	0.10659	0	0	0.01212	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	0.28864	0	14.03921	1.34183	0.3827	73.94198	30.8072	0.09926	0	0	0	1.53697	16.77048	0	0.19684	0	12.23595	0	0.00091	0.13484	0.24465	10.32787	14.29425	12.71547	0.27927	0	0	0	0	2.34545	0	0	0	7.46398	0	0	7.03016	6.75154	0.68379	0	0.60702	25.88219	4.5067	0.1621	0.00346	11.87315	0	0	0	0.13959	0	0	0	0	0	0	0	0	0	20.37394	0	0	0	0	0.9253	0	2.36501	0	21.74401	0	0	0	0	0	0	0	0	0	2.01358	0.09236	0	0	0	0	0.50463	0.95407	0.83398	0.79628	0	35.28376	0	0	0.96105	51.73881	30.30581	0.0169	0	0.5053	1.23119	0	0.04665	0	0.60752	0.09777	0	3.46644	12.65	15.48079	1.05895	5.17713	1.42403	1.51012	1.29922	2.29981	0	0	2.46241	2.19445	0	0.05767	0	0	2.42038	19.49192	0	36.46827	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	0	0	0	0	0	0.13185	0	0	0.03479	0	0.08943	0	0	0	0	0.00494	0	0	0	0	0	0.02167	0	0	0	1.35463	0	0	0	26.37632	0	0	0	0	7.12308	0	0.62937	0	0	0	0	0.01736	0	0.09591	0	0	0	0	0	0	0	0	0	0.38294	28.53105	0	0	0	0	0	0	0	0	0	0	0.24387	0	0	0	0	0	0	0	0	0	9.17827	0	0	0	0	0	0	0	0	0	0	0.02457	0.10518	0.14413	10.44752	0	0	0.06475	0	0	1.50933	0.00974	0	0.004	4.33849	0	0.00497	0	0	0.04493	0	0	0	0	0	0	0	0	0	0	4.72843	1.87708	0	0	0	0.038	0	0	0	0	0	2.16578	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	0	0	1.0119	0	0	0.28455	0	5.18582	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43736	0	0	0	0.41038	0	0	0	0	0	0	0	0	0	0.7245	0	2.28978	0	0	0	0.67514	0.11207	0.45147	0.03724	0	0	0	0	0	0	0	0	0	0	0	0	0.62314	2.03851	2.32726	0	0	0	0.01106	0	1.01806	0	2.46433	0	0	9.16473	0	1.5438	0	0	0.1663	0	0	0.17614	0	0	0	0	0	0	0	0.00641	0.59717	0	0	4.32242	1.26246	0	0	0	4.79854	0	0	0.17742	0	0	0	0.662	0	0	0	0	0	0	0	3.89632	4.00444	3.08538	2.80957	15.47901	0	0	0	2.72852	0	1.01742	0	0	0.29436	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis_CAG_32	0	0	0.18583	0	0	0.23978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42384	0	0	0	0.47251	0	0	0	0	0	0	0	0	0	0	0	1.23174	0	0	0	0.84999	0.0481	0.80085	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06584	0.65713	1.49392	0	0	0	0	0	0.36619	0	1.24279	0	0	0	0	2.85528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95918	0	0	0	0.68266	0	0	0	8.47815	0	0	0.11538	0	0	0	0	0	0	0	0	0	0	0	2.27788	0	0	0	0	0	0	0	0	0	1.60115	0	0	2.26981	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	0	0	0.8466	0	0	0	0	0	0.29594	0	0.00295	0	0	0.02343	0	4.08809	0	0	0	0	0.95788	0.4926	0	0	0	0.00256	0	0	1.89002	5.65628	0	0	0	0	10.84963	0	0	0	0	0	0.0308	0	0	0.24361	0	0	0	0	0.08407	0	0	0	0	0	0	2.3866	0	1.15025	0	0	0	0	0	0	0	0.92216	0	0	0	0	0	0	0	0.57658	0	0	0	0	0	0	0	0	0	0	4.09331	0	0.01987	0	2.99892	0	0	0	0.35476	8.6255	0	1.31862	0.00762	0	0.01138	0	0	0	0	0	0	0	0.11173	3.13609	0	2.13349	0	0	0	0	0	0	0	0.1398	3.41601	0	0.07145	0	0	0	0	0	0	1.41063	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fluxus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.9393	0	1.60065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	0.84419	11.08387	0	0	0	0.40196	0	0.21104	0.01951	0	1.83595	2.49509	0	0	0.40955	0	0	1.45226	1.59238	0.63492	2.25981	0.1397	0.66218	1.47551	1.45365	4.27047	0.12617	9.94429	0	0.35544	0	0.00754	0	0	0	0	13.30926	0	0	0	0	3.50534	0.18729	0.50285	6.25704	0.914	5.63566	3.08801	1.43503	0	3.08306	0	0	0.09717	0	1.18673	5.00378	0.16827	0	0	1.50198	22.07088	0	0.37333	0	0.05684	2.24334	0.45503	0	0	2.97483	0	0.09648	0	0	1.83114	0	0.28844	6.81066	0.40476	0.38505	0.0048	0	1.31191	0.03052	0	1.57453	0.5988	0	0	0	0	0	0.02679	0	0	3.48141	0.0094	0	0	4.65116	0.1874	4.10648	12.38047	0.27788	0	0	0	0	0	0	0	0	0	7.68364	9.26139	5.35909	0	0.18373	0.32203	1.01934	0	0	0.21487	2.19007	2.78512	8.57022	0	9.01267
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus	0	0	0	0	0	0	0	0	0	0	0.02673	0	0	0	0	0	0	0	0	0	0	0.00314	0	0	0	0	0	0	0	0	0	0	3.27227	0	0	0	0.00986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26392	0	0	0	0	0.01002	0.00481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02516	0	0	0	0	0	0.01319	0	0	0	0	0	0	0	0	0.01814	0	0	0.00553	0	0	0	0	0	0.12724	0	0	0	0.01504	0	0	0	0	0	0	0	0	0	0	0.00404	0	0	0.1972	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	0	0	0	0	0	0	0	4.1201	0.08152	0.30803	0	0	0	0.0027	0	0.01042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93353	0	0	0	0	0	0	0.01917	1.1027	0	0	0	0	0.17529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03166	0	0	3.2859	0.01243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.60325	0	0	0	0	0	0	0	0	1.58497
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	0	0	0	0	0	0	0	0	0.09063	0	0.01161	0	0	0.00513	0	1.35339	0	0	1.66531	0	0	0.61554	0	0	0	0	5.75098	0	0	0	4.17986	0	0	0	0	0	0.00886	5.24262	0.41935	0	0.18701	0	0	0.18512	0	0	0	0	0	0	0	4.81104	0	0	0.73535	0	0	1.87693	0	0	0	0.11049	0	0	0	1.43757	0	0.05311	0	0	0	0	0	0.16563	2.25875	0	0.06084	0	0	0	0	0	0	0	5.00014	0	0	0.43877	0.1157	0	6.94587	0	6.23697	2.03553	0	1.06803	0	0	1.18788	0.22211	0	0	0	0	0	2.84745	0	0.95936	0	1.54063	2.24402	2.8133	2.53794	2.78078	0	0	0	0.05834	0	0	0.00915	0	0	0	0	0	0	0.84915	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	0	0	0	0	0	0	0	0	0	0.13412	0	0.00851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187	0	0	0	0	0	0	0.04856	0	0.06014	0	0	0	0	0.0444	0	0	0.14456	0	0	0	0	0	0	0	0	0.03882	0	0	0	0.04608	0.00639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_oleiciplenus	0	0	0	0	0	0	0	0	0	0	0	0.70831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	0	0	3.39067	16.52267	0.01096	1.75517	0	0	0.17974	0.00903	0.80724	5.29345	0.28341	21.68359	2.49872	0.32719	0	0.3513	0.38795	0.06388	0.65637	0.07857	0.08062	5.60837	5.46658	3.33472	0.7146	2.13304	0.99593	2.23722	2.48326	0.02732	0	7.41086	0.155	1.44079	0.00368	4.56952	3.37702	7.72385	0.37744	0.02243	0.07234	1.0415	0	0	2.00965	0.41953	0.49933	0	2.09542	17.17747	2.18171	0.04215	1.57666	0.4107	3.53787	3.9186	1.55016	1.86014	0.50757	0	16.4964	0	0	2.90317	1.22277	0.15685	7.56844	12.3274	0.41497	0	0.74815	0.33741	7.75353	0.03556	0.76233	0	0.34993	0.26925	0.17938	3.2144	0	0.07813	0.84476	0.00583	4.55811	0.2017	1.42539	0.03696	11.72012	1.21423	0.95495	0.38307	0	3.40263	0.00606	5.37455	0.15639	1.10671	0	1.00828	0	0.61057	0.31142	0.78847	2.16572	0	6.81139	1.06735	0.60141	3.96036	2.95394	3.75416	1.11982	2.08539	0.41017	3.51252	0.2481	1.43912	0.85025	0	0	1.57242	0	5.73517	3.09671	0.93903	0.25183
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	0	0	0	0	0	13.97921	0	0	0	0	0	0	0.19458	0	0	0	0	0	0	0	0	0	5.50617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.87847	0	0	0.1938	0	0	0	0	0	0	0	0	0.00379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.92637	0	0	0	1.83949	0	0	0	0	0	0.19699	1.45805	0	0	0	0	0	0	19.43122	0	16.8415	0	0	0	0	0	0	0	0	0.29395	0	0.35321	0.01295	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	0	0	0	0.75347	0	0.83285	0	0	0.01527	0	0	0	0	0	0	0.11924	0	0	0	1.55934	0	0.59819	0	0	0	0	0	0	0	0	0	0	0	0	0.00031	0	0	0	0.35593	0	0.10144	0	0	0.07491	0	0	0	0	0	0	0.02962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03187	0	0	0	0	0	0	0	0	0.19006	0	0.25656	0	0	0	0	0	0	0	1.49793	0	0.61116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05038	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sartorii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.8203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_43_108	0	0	0	0	0	7.12429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02386	0	0	0	0	0	0	0	0	0	0	0	0.3972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.93751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
